block,reth,geth_cc,geth_total,delta,delta_pct
8350000,429,436,453,-7,-1.6
8450000,357,361,361,-4,-1.1
8550000,269,276,276,-7,-2.5
8650000,397,397,397,0,0.0
8750000,197,198,198,-1,-0.5
8850000,285,297,297,-12,-4.0
8950000,708,713,714,-5,-0.7
9050000,261,266,274,-5,-1.9
9150000,191,200,200,-9,-4.5
9350000,3,3,3,0,0.0
9450000,500,508,508,-8,-1.6
9550000,308,318,318,-10,-3.1
9650000,37,38,38,-1,-2.6
9750000,443,459,459,-16,-3.5
9850000,133,134,134,-1,-0.7
9950000,63,65,65,-2,-3.1
10050000,290,298,298,-8,-2.7
