sample,from,to,sync_ms,clean_blk_s
2165,21659900,21659999,1354,73.8
2166,21669900,21669999,1544,64.7
2167,21679900,21679999,1383,72.3
2168,21689900,21689999,1290,77.5
2169,21699900,21699999,1480,67.5
2170,21709900,21709999,1447,69.1
2171,21719900,21719999,1545,64.7
2172,21729900,21729999,1457,68.6
2173,21739900,21739999,1287,77.7
2174,21749900,21749999,1431,69.8
2175,21759900,21759999,1370,72.9
2176,21769900,21769999,1558,64.1
2177,21779900,21779999,1753,57.0
2178,21789900,21789999,1459,68.5
2179,21799900,21799999,1655,60.4
2180,21809900,21809999,1552,64.4
2181,21819900,21819999,1459,68.5
2182,21829900,21829999,1591,62.8
2183,21839900,21839999,1620,61.7
2184,21849900,21849999,1455,68.7
2185,21859900,21859999,1596,62.6
2186,21869900,21869999,1474,67.8
2187,21879900,21879999,1470,68.0
2188,21889900,21889999,1767,56.5
2189,21899900,21899999,1430,69.9
2190,21909900,21909999,1485,67.3
2191,21919900,21919999,1783,56.0
2192,21929900,21929999,1556,64.2
2193,21939900,21939999,1741,57.4
2194,21949900,21949999,1574,63.5
2195,21959900,21959999,1552,64.4
2196,21969900,21969999,1666,60.0
2197,21979900,21979999,1507,66.3
2198,21989900,21989999,1917,52.1
2199,21999900,21999999,1129,88.5
2200,22009900,22009999,1780,56.1
2201,22019900,22019999,1781,56.1
2202,22029900,22029999,1607,62.2
2203,22039900,22039999,1689,59.2
2204,22049900,22049999,1479,67.6
2205,22059900,22059999,1469,68.0
2206,22069900,22069999,1387,72.0
2207,22079900,22079999,1478,67.6
2208,22089900,22089999,1603,62.3
2209,22099900,22099999,1337,74.7
2210,22109900,22109999,1440,69.4
2211,22119900,22119999,1656,60.3
2212,22129900,22129999,1638,61.0
2213,22139900,22139999,1718,58.2
2214,22149900,22149999,1423,70.2
2215,22159900,22159999,1377,72.6
2216,22169900,22169999,1551,64.4
2217,22179900,22179999,1703,58.7
2218,22189900,22189999,1715,58.3
2219,22199900,22199999,1419,70.4
2220,22209900,22209999,1932,51.7
2221,22219900,22219999,1592,62.8
2222,22229900,22229999,1649,60.6
2223,22239900,22239999,1638,61.0
2224,22249900,22249999,1382,72.3
2225,22259900,22259999,1461,68.4
2226,22269900,22269999,1530,65.3
2227,22279900,22279999,1778,56.2
